#,Section,Part,Qty,Supplier,Unit Cost (USD),Total Cost (USD),Purchase URL,Why it is needed
1,Controller,Espressif ESP32 Development Board,1,Adafruit,15.00,15.00,https://www.adafruit.com/product/3269,Runs the controller firmware and feedback loop
2,Controller,DAC 2 Click (LTC2601 16-bit) MIKROE-1918,3,Allelco,19.00,57.00,https://www.allelcoelec.com/productdetails/MikroElektronika/MIKROE-1918.html,Provides the three analog control channels for the piezo scanner
3,Controller,ADC 8 Click (ADS1115 16-bit) MIKROE-3394,1,Mouser,25.00,25.00,https://www.mouser.com/ProductDetail/Mikroe/MIKROE-3394,Reads the tunneling-amplifier output
4,Controller,TL072 op-amp,2,DigiKey,1.50,3.00,https://www.digikey.com/en/products/detail/texas-instruments/TL072ACDR/562849,Conditions the controller signals
5,Controller,PL2303TA USB-TTL converter,1,ElectroPeak,1.05,1.05,https://electropeak.com/pl2303ta-usb-to-ttl-cable,Provides the serial data link
6,Controller,USB-A to Micro-B cable 3 ft,1,Adafruit,2.95,2.95,https://www.adafruit.com/product/592,Flashes the ESP32
7,Controller,2.54 mm terminals plus male and female pin headers,1 set,SparkFun + Amazon,6.00,6.00,https://www.sparkfun.com/products/116 | https://www.sparkfun.com/products/115 | https://www.amazon.com/dp/B08XWCN43C,Makes the ESP32 and Click boards replaceable
8,Controller,Resistor set: 3k3 / 220 / 1k6,1 set,Walmart,10.00,10.00,https://www.walmart.ca/en/ip/156-Values-Resistor-Kit-Stable-Pulse-Loading-Lightweight-Carbon-Film-Resistor-Assortment-Low-Noise-Wear-Resistance-1-4W-For-Electronic-Equipment/2J57CO3UC5OZ,Provides the controller-board resistor values
9,Controller,Capacitor set: 4n7F and 100nF,1 set,Kurd Electronics,7.70,7.70,https://kurdelectronic.com/product/960pcs-2pf-100nf-ceramic-capacitor-kit/,Provides the controller-board capacitor values
10,Controller,1N5819 diode,2,DigiKey,1.50,3.00,https://www.digikey.com/en/products/detail/onsemi/1N5819RLG/917656,Provides reverse-polarity protection
11,Controller,5 mm LED indicator pack,1 pack,Adafruit,4.95,4.95,https://www.adafruit.com/product/4203,Shows board status
12,Controller,Female-to-male jumper-wire pack,1 pack (40),Adafruit,3.95,3.95,https://www.adafruit.com/product/826,Connects boards during assembly and testing
13,Tunneling amplifier,ADA4637-1ARZ op-amp,2,Mouser,10.91,21.82,https://www.mouser.com/ProductDetail/Analog-Devices/ADA4637-1ARZ,Converts tunneling current into a measurable voltage; includes one spare
14,Tunneling amplifier,RC1206JR-07100ML 100 Mohm SMD resistor,5,DigiKey,2.40,12.00,https://www.digikey.com/en/products/detail/yageo/RC1206JR-07100ML/5919157,Provides the preamplifier feedback resistance and spares
15,Tunneling amplifier,BMI-S-201-F shielding can,1,DigiKey,6.00,6.00,https://www.digikey.com/en/products/detail/laird-technologies-emi/BMI-S-201-F/2182404,Shields the sensitive preamplifier
16,Tunneling amplifier,Preamp capacitor set: 47nF / 1uF / 4.7uF 35V,1 set,Mouser,15.00,15.00,https://www.mouser.com/ProductDetail/AVX/TAJ475K035RNJ,Provides preamplifier decoupling; 4.7uF capacitors must be polarized and 35V rated
17,PCB,Controller board (Adapterboard-PTH),1,JLCPCB,25.00,25.00,https://jlcpcb.com/,Fabricate using docs/pcb/Adapterboard-PTH.zip
18,PCB,Tunneling-amplifier board,1,JLCPCB,20.00,20.00,https://jlcpcb.com/,Fabricate using docs/pcb/Tunnelling-Amp.zip
19,Mechanics,Thorlabs KC1T/M kinematic mount,1,Thorlabs,95.00,95.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=KC1T%2FM,Holds and finely adjusts the scan head
20,Mechanics,Thorlabs ER2-P4 cage rods 2 in 4-pack,1,Thorlabs,26.82,26.82,https://www.thorlabs.com/thorproduct.cfm?partnumber=ER2-P4,Builds the cage frame
21,Mechanics,Thorlabs SP05/M cage adapter plate,1,Thorlabs,31.00,31.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=SP05%2FM,Connects the cage-frame sections
22,Scanner head,20 mm piezo disks,1 pack (10),Shokitech,12.00,12.00,https://shokitech.com/product/20mm-piezo-buzzer-electronic-alarm-sounder/,Provides material for the quadrant scanner
23,Scanner head,Gold-plated 2.54 mm pins,1 pack (10),Denentech,10.00,10.00,https://www.denentech.com/product/detail/cd3f638427.html,Connects the piezo quadrants
24,Scanner head,MG Chemicals silver conductive pen,1,Micro Center,17.59,17.59,https://www.microcenter.com/product/679436/mg-chemicals-silver-conductive-pen,Restores the conductive connection between each pin and piezo quadrant
25,Scanner head,0.25 mm 999 silver wire,1,Rashbel,15.00,15.00,https://rashbel.com/products/round-pure-fine-999-silver-wire-soft-prd-1602,Provides stock for the STM tip
26,Scanner head,0.1 mm enamelled copper wire,1,Reichelt,8.00,8.00,https://www.reichelt.com/de/en/shop/product/enamelled_copper_wire_diameter_0_1_mm_length_140_m-9613,Makes flexible leads to the piezo quadrants
27,Power,10x AA battery holder,2,The Pi Hut,5.00,10.00,https://thepihut.com/products/10aa-holder,Provides the positive and negative 15V supplies
28,Power,1x AA battery holder,1,SparkFun,4.00,4.00,https://www.sparkfun.com/battery-holder-1xaa-pth.html,Provides sample bias
29,Power,AA battery pack (24),1 pack,Harbor Freight,7.99,7.99,https://www.harborfreight.com/promotions/thunderbolt-batteries/aa-alkaline-batteries-24-pack-61271.html,Provides 21 batteries plus spares
30,Noise control,Copper foil tape with conductive adhesive,4 rolls,Adafruit,5.95,23.80,https://www.adafruit.com/product/1128,Provides grounding and shielding around the preamplifier and scan head
,TOTAL,,,,,500.62,,Requested from Stardance; tools are not included
